tournament,date,average_driving_distance
Texas Open,1985-09-29,263.3263157894736
Southern Open,1985-10-06,256.79189189189185
Walt Disney World/Oldsmobile Classic,1985-10-13,256.808108108108
Pensacola Open,1985-10-20,260.7657894736841
MONY Tournament of Champions,1986-01-11,253.78387096774196
Bob Hope Chrysler Classic,1986-01-19,257.16901408450707
Phoenix Open,1986-01-26,270.68023255813955
AT&T Pebble Beach National Pro-Am,1986-02-02,247.3267605633802
Shearson Lehman Brothers Andy Williams Open,1986-02-09,257.40941176470585
Hawaiian Open,1986-02-16,266.95285714285717
Los Angeles Open,1986-02-23,261.5931506849314
Honda Classic,1986-03-02,253.47323943661965
Doral-Eastern Open,1986-03-09,255.5597222222222
Hertz Bay Hill Classic,1986-03-16,252.30379746835433
USF&G Classic,1986-03-23,253.16935483870958
Tournament Players Championship,1986-03-30,253.3613333333333
Greater Greensboro Open,1986-04-06,264.8166666666666
Masters Tournament,1986-04-13,259.8229166666666
Sea Pines Heritage,1986-04-20,247.9928571428571
Houston Open,1986-04-27,268.8192307692306
Panasonic Las Vegas Invitational,1986-05-04,277.55925925925936
Byron Nelson Golf Classic,1986-05-11,265.8783132530119
Colonial National Invitation,1986-05-18,268.08266666666657
Memorial Tournament,1986-05-25,260.3999999999998
Kemper Open,1986-06-01,295.9855072463767
Manufacturers Hanover Westchester Classic,1986-06-08,245.13506493506486
U.S. Open Championship,1986-06-15,257.08714285714274
Georgia-Pacific Atlanta Golf Classic,1986-06-22,263.57066666666645
Canadian Open,1986-06-29,274.01216216216216
Canon Sammy Davis Jr.-Greater Hartford Open,1986-07-06,261.8461538461537
Anheuser-Busch Golf Classic,1986-07-13,250.8271428571429
Hardee's Golf Classic,1986-07-20,268.7179487179488
Buick Open,1986-07-27,269.92428571428553
Western Open,1986-08-03,268.4047619047618
PGA Championship,1986-08-10,259.9180555555555
NEC World Series of Golf,1986-08-24,278.0883720930232
Federal Express St. Jude Classic,1986-08-31,261.55199999999985
B.C. Open,1986-09-07,263.7
Bank of Boston Classic,1986-09-14,260.43239436619706
Greater Milwaukee Open,1986-09-21,251.2374999999998
