tournament,date,average_driving_distance
PGA Championship,2016-07-31,289.24999999999983
Travelers Championship,2016-08-07,292.5972602739725
John Deere Classic,2016-08-14,288.8794520547945
Wyndham Championship,2016-08-21,310.7533333333333
The Barclays,2016-08-28,294.0784810126581
Deutsche Bank Championship,2016-09-05,292.573611111111
BMW Championship,2016-09-11,296.8441176470586
TOUR Championship,2016-09-25,301.6241379310345
Safeway Open,2016-10-16,288.16142857142853
Shriners Hospitals for Children Open,2016-11-06,308.69459459459455
OHL Classic at Mayakoba,2016-11-13,285.1166666666665
The RSM Classic,2016-11-20,287.3799999999999
SBS Tournament of Champions,2017-01-08,280.796875
Sony Open in Hawaii,2017-01-15,308.28356164383547
CareerBuilder Challenge,2017-01-22,287.50779220779214
Farmers Insurance Open,2017-01-29,287.8917808219177
Waste Management Phoenix Open,2017-02-05,303.82933333333324
AT&T Pebble Beach Pro-Am,2017-02-12,280.9138461538461
Genesis Open,2017-02-19,284.05352112676036
The Honda Classic,2017-02-26,292.87142857142857
World Golf Championships-Mexico Championship,2017-03-05,297.42499999999984
Valspar Championship,2017-03-12,288.450724637681
Arnold Palmer Invitational presented by Mastercard,2017-03-19,290.10833333333335
Puerto Rico Open,2017-03-19,290.10833333333323
Shell Houston Open,2017-04-02,286.81142857142845
Masters Tournament,2017-04-09,281.8396226415094
RBC Heritage,2017-04-16,278.26216216216204
Valero Texas Open,2017-04-23,291.236842105263
Wells Fargo Championship,2017-05-07,287.2986486486485
THE PLAYERS Championship,2017-05-14,288.0112676056339
AT&T Byron Nelson,2017-05-21,287.59324324324314
DEAN & DELUCA Invitational,2017-05-28,294.4888888888888
the Memorial Tournament presented by Nationwide,2017-06-04,294.3697368421053
FedEx St. Jude Classic,2017-06-11,292.73239436619707
U.S. Open,2017-06-18,306.8499999999999
Travelers Championship,2017-06-25,297.035135135135
Quicken Loans National,2017-07-02,301.7824324324324
The Greenbrier Classic,2017-07-09,307.6216216216215
John Deere Classic,2017-07-16,294.9643835616438
Barbasol Championship,2017-07-16,295.0142857142857
The Open Championship,2017-07-23,295.77272727272714
RBC Canadian Open,2017-07-30,300.332894736842
Barracuda Championship,2017-07-30,300.33289473684215
World Golf Championships-Bridgestone Invitational,2017-08-06,313.15921052631575
PGA Championship,2017-08-13,300.0213333333332
Wyndham Championship,2017-08-20,304.2810810810811
THE NORTHERN TRUST,2017-08-27,294.7871428571428
Dell Technologies Championship,2017-09-04,289.5379746835441
BMW Championship,2017-09-17,307.62753623188405
TOUR Championship,2017-09-24,301.0633333333334
Safeway Open,2017-10-08,302.78399999999993
Shriners Hospitals for Children Open,2017-11-05,311.41153846153844
OHL Classic at Mayakoba,2017-11-12,283.09615384615364
The RSM Classic,2017-11-19,287.90136986301366
Sentry Tournament of Champions,2018-01-07,274.5470588235295
Sony Open in Hawaii,2018-01-14,306.73684210526307
CareerBuilder Challenge,2018-01-21,292.7727272727273
Farmers Insurance Open,2018-01-28,299.7207792207791
Waste Management Phoenix Open,2018-02-04,305.3305555555555
AT&T Pebble Beach Pro-Am,2018-02-11,295.08000000000004
Genesis Open,2018-02-18,295.2184210526314
The Honda Classic,2018-02-25,295.3666666666666
World Golf Championships-Mexico Championship,2018-03-04,305.8609374999999
Valspar Championship,2018-03-11,295.7333333333333
Arnold Palmer Invitational presented by Mastercard,2018-03-18,292.75064935064927
Corales Puntacana Resort & Club Championship,2018-03-18,292.75064935064927
Houston Open,2018-04-01,288.7626666666665
Masters Tournament,2018-04-08,289.56226415094335
RBC Heritage,2018-04-15,279.3844155844156
Valero Texas Open,2018-04-22,301.11805555555543
Wells Fargo Championship,2018-05-06,312.01733333333317
THE PLAYERS Championship,2018-05-13,293.5338028169014
AT&T Byron Nelson,2018-05-20,295.9066666666667
Fort Worth Invitational,2018-05-27,299.51923076923066
the Memorial Tournament presented by Nationwide,2018-06-03,288.9739726027396
FedEx St. Jude Classic,2018-06-10,297.9527777777777
U.S. Open,2018-06-17,299.9626865671641
Travelers Championship,2018-06-24,295.6972972972972
Quicken Loans National,2018-07-01,299.76621621621615
A Military Tribute at The Greenbrier,2018-07-08,311.98181818181814
John Deere Classic,2018-07-15,292.4042253521126
Barbasol Championship,2018-07-15,292.1439024390244
The Open Championship,2018-07-22,306.3873417721519
RBC Canadian Open,2018-07-29,300.8089743589743
Barracuda Championship,2018-07-29,300.8089743589741
World Golf Championships-Bridgestone Invitational,2018-08-05,318.2647887323943
PGA Championship,2018-08-12,301.0374999999998
Wyndham Championship,2018-08-19,313.0319444444444
THE NORTHERN TRUST,2018-08-26,284.4062499999999
Dell Technologies Championship,2018-09-03,301.9105263157894
BMW Championship,2018-09-09,294.8220588235292
TOUR Championship,2018-09-23,301.9433333333334
Safeway Open,2018-10-07,307.69054054054044
Shriners Hospitals for Children Open,2018-11-04,311.42567567567556
Mayakoba Golf Classic,2018-11-11,288.2888888888888
The RSM Classic,2018-11-18,281.58717948717936
Sentry Tournament of Champions,2019-01-06,276.74242424242436
Sony Open in Hawaii,2019-01-13,305.1943661971829
Desert Classic,2019-01-20,289.5849315068491
Farmers Insurance Open,2019-01-27,296.2454545454544
Waste Management Phoenix Open,2019-02-03,303.894520547945
AT&T Pebble Beach Pro-Am,2019-02-10,274.40166666666664
Puerto Rico Open,2019-02-17,281.72368421052624
Genesis Open,2019-02-17,281.72368421052624
World Golf Championships-Mexico Championship,2019-02-24,320.80704225352105
The Honda Classic,2019-03-03,292.5757142857142
Arnold Palmer Invitational presented by Mastercard,2019-03-10,293.1328571428571
THE PLAYERS Championship,2019-03-17,288.2561643835615
Corales Puntacana Resort & Club Championship,2019-03-24,293.5057142857142
Valspar Championship,2019-03-24,293.5057142857142
Valero Texas Open,2019-04-07,299.94142857142856
Masters Tournament,2019-04-14,298.2030769230769
RBC Heritage,2019-04-21,283.65142857142837
Wells Fargo Championship,2019-05-05,307.15616438356153
AT&T Byron Nelson,2019-05-12,287.819718309859
PGA Championship,2019-05-19,299.97073170731693
Charles Schwab Challenge,2019-05-26,298.05342465753415
the Memorial Tournament presented by Nationwide,2019-06-02,282.4999999999999
RBC Canadian Open,2019-06-09,298.45211267605623
U.S. Open,2019-06-16,298.586075949367
Travelers Championship,2019-06-23,287.55571428571426
Rocket Mortgage Classic,2019-06-30,302.8183098591548
3M Open,2019-07-07,304.08904109589037
John Deere Classic,2019-07-14,311.12857142857155
Barbasol Championship,2019-07-14,310.24805194805174
The Open Championship,2019-07-21,291.4712328767123
World Golf Championships-FedEx St. Jude Invitational,2019-07-28,296.1380952380952
Barracuda Championship,2019-07-28,296.1380952380953
Wyndham Championship,2019-08-04,300.65657894736825
THE NORTHERN TRUST,2019-08-11,289.24166666666645
BMW Championship,2019-08-18,300.8985507246376
TOUR Championship,2019-08-25,302.26
